model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9770717532075867,r2,0.028932809829711914,97.24423575401306,0.000614166259765625,0.11831998825073242,2,True,12
CatBoost,0.9762854441657324,r2,0.006566524505615234,93.24187994003296,0.006566524505615234,93.24187994003296,1,True,6
LightGBMLarge,0.9752395767725157,r2,0.015488147735595703,2.3335413932800293,0.015488147735595703,2.3335413932800293,1,True,11
XGBoost,0.9745299003821112,r2,0.0062639713287353516,1.5504944324493408,0.0062639713287353516,1.5504944324493408,1,True,9
LightGBM,0.97380414085757,r2,0.012265920639038086,1.751037359237671,0.012265920639038086,1.751037359237671,1,True,4
LightGBMXT,0.9702712742638239,r2,0.1329665184020996,9.829565286636353,0.1329665184020996,9.829565286636353,1,True,3
RandomForestMSE,0.9671386960096564,r2,0.12096571922302246,1.3596398830413818,0.12096571922302246,1.3596398830413818,1,True,5
ExtraTreesMSE,0.9668909858571214,r2,0.12048578262329102,0.7302770614624023,0.12048578262329102,0.7302770614624023,1,True,7
NeuralNetTorch,0.9567585375052043,r2,0.005554914474487305,66.29764795303345,0.005554914474487305,66.29764795303345,1,True,10
KNeighborsDist,0.9515837879184029,r2,0.0162508487701416,0.0157773494720459,0.0162508487701416,0.0157773494720459,1,True,2
NeuralNetFastAI,0.9477406257302208,r2,0.019820451736450195,14.475296020507812,0.019820451736450195,14.475296020507812,1,True,8
KNeighborsUnif,0.9464628199227263,r2,0.0210416316986084,0.15611886978149414,0.0210416316986084,0.15611886978149414,1,True,1
